Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2013-01-01,"22,6","32,6","27,2",86.0,3,"5,1",3.0,180.0,0.0,S 
2013-01-02,"24,6","33,6","26,3",91.0,0,"5,1",4.0,360.0,0.0,N 
2013-01-03,"23,4","30,2","25,9",89.0,63,4,4.0,180.0,0.0,S 
2013-01-04,"23,4","32,2","26,3",89.0,"3,6","4,7",5.0,160.0,0.0,S 
2013-01-05,"24,2","28,8","26,3",92.0,"49,5","0,2",3.0,120.0,0.0,SE
2013-01-06,23,"31,4","26,3",90.0,0,"5,1",5.0,200.0,0.0,SW
2013-01-07,"23,6","32,4","26,9",86.0,"1,1",5,3.0,160.0,0.0,S 
2013-01-08,"23,6","32,2","26,9",86.0,"10,9","5,1",6.0,150.0,0.0,SE
2013-01-09,"24,2","32,8",25,95.0,"0,8","3,2",2.0,120.0,0.0,SE
2013-01-10,"21,8",33,26,87.0,"12,4","6,1",3.0,340.0,0.0,S 
2013-01-11,"21,4","32,6",26,83.0,0,"7,1",2.0,130.0,0.0,SE
2013-01-12,21,"33,4","26,2",82.0,"0,8",8,5.0,45.0,1.0,NE
2013-01-13,"22,6","32,4","25,7",93.0,0,"5,4",4.0,140.0,1.0,SE
2013-01-14,23,"31,8","26,5",87.0,"32,7","6,1",3.0,360.0,0.0,N 
2013-01-15,"23,4","32,2","26,9",87.0,"0,4",6,5.0,180.0,0.0,S 
2013-01-16,"23,4","32,2","26,9",84.0,0,"6,3",6.0,40.0,1.0,SE
2013-01-17,"22,2","32,6","26,6",84.0,7,7,4.0,40.0,0.0,NE
2013-01-18,"22,4","30,8","26,3",78.0,0,6,5.0,150.0,2.0,W 
2013-01-19,"23,2",32,"27,1",81.0,,7,5.0,300.0,2.0,NW
2013-01-20,"23,2",32,"25,3",94.0,47,"1,2",4.0,350.0,1.0,N 
2013-01-21,"23,2","32,8","26,8",83.0,,"7,8",6.0,130.0,1.0,SE
2013-01-22,"23,6","32,2",27,88.0,0,"7,5",6.0,120.0,2.0,E 
2013-01-23,"23,6","32,2","27,6",91.0,0,"3,2",6.0,320.0,1.0,SE
2013-01-24,"23,2","30,4",25,94.0,"50,5","3,7",3.0,20.0,0.0,N 
2013-01-25,"22,2","30,2","25,5",90.0,"38,5","4,4",4.0,350.0,1.0,N 
2013-01-26,"22,8","33,2","26,9",87.0,8,"5,8",3.0,330.0,0.0,NW
2013-01-27,23,"32,6","25,6",90.0,0,6,2.0,120.0,0.0,N 
2013-01-28,"22,8","32,6",27,85.0,"17,3","7,1",4.0,120.0,1.0,SE
2013-01-29,23,"30,4","25,8",92.0,"4,5","1,1",3.0,60.0,0.0,SE
2013-01-30,"22,6","32,4","26,4",86.0,"8,6","6,7",6.0,130.0,2.0,SE
2013-01-31,"24,4","31,8",26,89.0,0,"4,9",5.0,180.0,0.0,SW
2013-02-01,"23,6","30,8","26,3",87.0,"14,2","4,8",8.0,130.0,1.0,S 
2013-02-02,24,"31,4","26,7",87.0,0,"2,5",5.0,300.0,2.0,N 
2013-02-03,"22,8","32,4","26,8",81.0,0,"7,4",6.0,150.0,1.0,NW
2013-02-04,"22,8","31,4","25,5",91.0,4,"4,1",6.0,30.0,1.0,SE
