Local Time (Timezone : GMT+8h),Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in)
8/18/2019 0:00,85.6,31.4,479.6,116.2,82,75,79,13,29.83
8/18/2019 0:30,84.3,31.1,460.3,114.5,82,75,79,12,29.83
8/18/2019 1:00,84.6,31.3,462.4,116.8,82,75,79,12,29.83
8/18/2019 1:30,84.8,31.4,458.5,117,82,75,79,12,29.83
8/18/2019 2:00,84.7,31.4,455.4,117,82,75,79,12,29.83
8/18/2019 2:30,84.4,31.4,454.3,116.7,82,77,84,12,29.83
8/18/2019 3:00,86.4,31.5,466.1,119,82,75,79,12,29.83
8/18/2019 3:30,89.1,31.8,477.4,122.6,82,77,84,9,29.83
8/18/2019 4:00,89.1,31.8,473.3,122.2,82,77,84,10,29.8
8/18/2019 4:30,89.3,31.9,478.8,123.3,82,77,84,12,29.8
8/18/2019 5:00,87.5,31.9,471.9,121.8,82,77,84,12,29.8
8/18/2019 5:30,84.7,31.6,456.1,117.4,82,77,84,10,29.83
8/18/2019 6:00,84.5,31.6,458.2,117.6,82,77,84,10,29.83
8/18/2019 6:30,84.4,31.5,460.1,117.8,82,75,79,10,29.83
8/18/2019 7:00,88.4,31.8,487.6,121.9,82,75,79,10,29.86
8/18/2019 7:30,96.2,32.6,551.9,130.1,82,77,84,10,29.86
8/18/2019 8:00,98,32.8,569.2,129.5,84,77,79,13,29.86
8/18/2019 8:30,95.2,32.6,559.3,124.8,86,77,74,12,29.89
8/18/2019 9:00,95.8,32.7,561.9,125.7,86,77,74,12,29.89
8/18/2019 9:30,97.6,32.8,576,129.9,88,77,70,10,29.89
8/18/2019 10:00,96.8,33,575.8,130.3,88,77,70,10,29.89
8/18/2019 10:30,99.2,33.4,596.7,136.8,88,77,70,12,29.89
8/18/2019 11:00,102.8,33.7,611.8,143.4,90,75,62,10,29.86
8/18/2019 11:30,102.6,33.4,602.6,139.2,91,72,52,14,29.86
8/18/2019 12:00,102.1,33.3,595.9,137.7,90,72,55,12,29.86
8/18/2019 12:30,100.7,32.9,582.2,132,90,72,55,12,29.86
8/18/2019 13:00,100.2,32.8,578.8,130.5,91,72,52,10,29.83
8/18/2019 13:30,100.5,33,582.9,133.9,90,70,52,13,29.83
8/18/2019 14:00,100,32.9,581.2,130.5,91,70,49,14,29.8
8/18/2019 14:30,100.4,33.2,586.6,134.6,91,68,46,14,29.8
8/18/2019 15:00,100.4,33.2,590.4,134.7,91,59,34,17,29.8
8/18/2019 15:30,99,32.3,564.2,125.1,91,63,38,15,29.8
8/18/2019 16:00,97.9,31.7,551.6,118.9,90,68,49,16,29.8
8/18/2019 16:30,96.8,31.3,540.1,114.2,90,70,52,15,29.77
