Timestamp;Type_Burger;Code_Burger;Amount_Burger;Type_Drink;Code_Drink;Amount_Drink;Gender;Payment;;;;;;;;;;;;;;;;;
10:01;Beef burger;1;6;Mineral water;1;3;1;DANA;;;;;;;;;;;;;;;;;
10:04;Cheese burger;3;12;Coke;2;10;0;DANA;;;;;;;;;;;;;;;;;
10:05;Double cheese burger;4;10;Mineral water;1;5;0;LINK AJA;;;;;;;;;;;;;;;;;
10:06;Chicken burger;2;9;Coffe;3;9;0;DANA;;;;;;;;;;;;;;;;;
10:07;Cheese burger;3;11;Coke;2;3;1;DANA;;;;;;;;;;;;;;;;;
10:08;Double cheese burger;4;8;Mineral water;1;4;1;DANA;;;;;;;;;;;;;;;;;
10:09;Beef burger;1;7;Mineral water;1;7;1;GOPAY;;;;;;;;;;;;;;;;;
10:11;Beef burger;1;6;Mineral water;1;3;1;TUNAI;;;;;;;;;;;;;;;;;
10:12;Double cheese burger;4;5;Coffe;3;2;0;TUNAI;;;;;;;;;;;;;;;;;
10:16;Chicken burger;2;9;Coffe;3;9;0;TUNAI;;;;;;;;;;;;;;;;;
10:17;Cheese burger;3;11;Coke;2;3;1;DANA;;;;;;;;;;;;;;;;;
10:19;Beef burger;1;7;Mineral water;1;7;1;OVO;;;;;;;;;;;;;;;;;
10:20;Chicken burger;2;11;None;0;0;0;LINK AJA;;;;;;;;;;;;;;;;;
10:24;Beef burger;1;8;Mineral water;1;10;0;GOPAY;;;;;;;;;;;;;;;;;
10:25;Beef burger;1;7;Mineral water;1;5;1;OVO;;;;;;;;;;;;;;;;;
10:26;Beef burger;1;11;Mineral water;1;9;0;TUNAI;;;;;;;;;;;;;;;;;
10:33;Beef burger;1;1;Mineral water;1;1;1;GOPAY;;;;;;;;;;;;;;;;;
10:37;Beef burger;1;1;Coffe;3;1;1;DANA;;;;;;;;;;;;;;;;;
10:38;Beef burger;1;1;Coffe;3;1;1;LINK AJA;;;;;;;;;;;;;;;;;
10:39;Chicken burger;2;3;Coffe;3;3;0;LINK AJA;;;;;;;;;;;;;;;;;
10:43;Cheese burger;3;9;Coke;2;9;0;LINK AJA;;;;;;;;;;;;;;;;;
10:44;Double cheese burger;4;3;Mineral water;1;3;0;DANA;;;;;;;;;;;;;;;;;
10:45;Double cheese burger;4;5;Coffe;3;5;0;OVO;;;;;;;;;;;;;;;;;
10:48;Double cheese burger;4;5;Mineral water;1;5;0;GOPAY;;;;;;;;;;;;;;;;;
10:49;Beef burger;1;1;None;0;1;0;OVO;;;;;;;;;;;;;;;;;
10:53;Chicken burger;2;7;None;0;0;1;GOPAY;;;;;;;;;;;;;;;;;
10:54;Cheese burger;3;12;Coke;2;10;0;DANA;;;;;;;;;;;;;;;;;
10:58;Double cheese burger;4;8;Mineral water;1;4;1;TUNAI;;;;;;;;;;;;;;;;;
10:59;Beef burger;1;7;Mineral water;1;7;1;GOPAY;;;;;;;;;;;;;;;;;
11:02;Double cheese burger;4;5;Coffe;3;2;0;LINK AJA;;;;;;;;;;;;;;;;;
11:05;Chicken burger;2;7;None;0;0;1;TUNAI;;;;;;;;;;;;;;;;;
11:07;Cheese burger;3;12;Coke;2;10;0;OVO;;;;;;;;;;;;;;;;;
11:08;Double cheese burger;4;10;Mineral water;1;5;0;LINK AJA;;;;;;;;;;;;;;;;;
11:10;Chicken burger;2;9;Coffe;3;9;0;OVO;;;;;;;;;;;;;;;;;
11:14;Chicken burger;2;3;Coffe;3;3;0;GOPAY;;;;;;;;;;;;;;;;;
11:17;Cheese burger;3;3;Coke;2;3;1;TUNAI;;;;;;;;;;;;;;;;;
11:19;Beef burger;1;1;Coffe;3;1;1;LINK AJA;;;;;;;;;;;;;;;;;
11:20;Chicken burger;2;3;Coffe;3;3;0;TUNAI;;;;;;;;;;;;;;;;;
11:21;Cheese burger;3;9;Coke;2;9;0;LINK AJA;;;;;;;;;;;;;;;;;
11:22;Double cheese burger;4;3;Mineral water;1;3;0;GOPAY;;;;;;;;;;;;;;;;;
11:23;Double cheese burger;4;5;Coffe;3;5;0;TUNAI;;;;;;;;;;;;;;;;;
11:24;Chicken burger;2;5;None;0;5;1;OVO;;;;;;;;;;;;;;;;;
11:25;Cheese burger;3;5;Coke;2;5;0;LINK AJA;;;;;;;;;;;;;;;;;
11:26;Double cheese burger;4;5;Mineral water;1;5;0;LINK AJA;;;;;;;;;;;;;;;;;
11:27;Beef burger;1;1;None;0;1;0;TUNAI;;;;;;;;;;;;;;;;;
11:28;Beef burger;1;3;Coke;2;3;0;OVO;;;;;;;;;;;;;;;;;
11:29;Beef burger;1;6;Mineral water;1;3;1;DANA;;;;;;;;;;;;;;;;;
11:30;Beef burger;1;6;Mineral water;1;3;1;OVO;;;;;;;;;;;;;;;;;
11:31;Double cheese burger;4;5;Coffe;3;2;0;OVO;;;;;;;;;;;;;;;;;
11:32;Chicken burger;2;7;None;0;0;1;GOPAY;;;;;;;;;;;;;;;;;
11:34;Cheese burger;3;12;Coke;2;10;0;OVO;;;;;;;;;;;;;;;;;
11:35;Double cheese burger;4;10;Mineral water;1;5;0;GOPAY;;;;;;;;;;;;;;;;;
11:37;Chicken burger;2;9;Coffe;3;9;0;LINK AJA;;;;;;;;;;;;;;;;;
11:38;Cheese burger;3;11;Coke;2;3;1;TUNAI;;;;;;;;;;;;;;;;;
11:40;Double cheese burger;4;8;Mineral water;1;4;1;LINK AJA;;;;;;;;;;;;;;;;;
11:42;Beef burger;1;7;Mineral water;1;7;1;LINK AJA;;;;;;;;;;;;;;;;;
11:43;Chicken burger;2;11;None;0;0;0;OVO;;;;;;;;;;;;;;;;;
11:44;Beef burger;1;6;Mineral water;1;3;1;DANA;;;;;;;;;;;;;;;;;
11:45;Double cheese burger;4;5;Coffe;3;2;0;TUNAI;;;;;;;;;;;;;;;;;
11:46;Chicken burger;2;7;None;0;0;1;DANA;;;;;;;;;;;;;;;;;
11:47;Cheese burger;3;12;Coke;2;10;0;OVO;;;;;;;;;;;;;;;;;
11:48;Double cheese burger;4;10;Mineral water;1;5;0;DANA;;;;;;;;;;;;;;;;;
11:49;Chicken burger;2;9;Coffe;3;9;0;LINK AJA;;;;;;;;;;;;;;;;;
11:50;Cheese burger;3;11;Coke;2;3;1;DANA;;;;;;;;;;;;;;;;;
11:51;Double cheese burger;4;8;Mineral water;1;4;1;LINK AJA;;;;;;;;;;;;;;;;;
11:52;Beef burger;1;7;Mineral water;1;7;1;TUNAI;;;;;;;;;;;;;;;;;
11:53;Chicken burger;2;11;None;0;0;0;DANA;;;;;;;;;;;;;;;;;
11:58;Beef burger;1;10;Mineral water;1;3;1;DANA;;;;;;;;;;;;;;;;;
11:59;Beef burger;1;9;Coffe;3;2;1;LINK AJA;;;;;;;;;;;;;;;;;
12:04;Beef burger;1;11;Coke;2;0;1;GOPAY;;;;;;;;;;;;;;;;;
12:05;Beef burger;1;8;Mineral water;1;10;0;OVO;;;;;;;;;;;;;;;;;
12:06;Beef burger;1;7;Mineral water;1;5;1;GOPAY;;;;;;;;;;;;;;;;;
12:07;Beef burger;1;11;Mineral water;1;9;0;OVO;;;;;;;;;;;;;;;;;
12:08;Beef burger;1;2;Coffe;3;2;0;GOPAY;;;;;;;;;;;;;;;;;
12:11;Beef burger;1;1;None;0;1;0;TUNAI;;;;;;;;;;;;;;;;;
12:12;Beef burger;1;3;Coke;2;3;0;GOPAY;;;;;;;;;;;;;;;;;
12:15;Beef burger;1;1;Mineral water;1;1;1;GOPAY;;;;;;;;;;;;;;;;;
12:18;Beef burger;1;1;Mineral water;1;1;1;OVO;;;;;;;;;;;;;;;;;
12:20;Beef burger;1;1;Mineral water;1;1;1;LINK AJA;;;;;;;;;;;;;;;;;
12:22;Beef burger;1;1;Mineral water;1;1;1;TUNAI;;;;;;;;;;;;;;;;;
12:24;Beef burger;1;1;Mineral water;1;1;1;GOPAY;;;;;;;;;;;;;;;;;
12:30;Beef burger;1;1;Coffe;3;1;1;TUNAI;;;;;;;;;;;;;;;;;
12:34;Beef burger;1;1;Coffe;3;1;1;TUNAI;;;;;;;;;;;;;;;;;
12:36;Beef burger;1;1;Coffe;3;1;1;TUNAI;;;;;;;;;;;;;;;;;
12:38;Beef burger;1;1;Coffe;3;1;1;DANA;;;;;;;;;;;;;;;;;
12:39;Chicken burger;2;3;Coffe;3;3;0;GOPAY;;;;;;;;;;;;;;;;;
12:40;Cheese burger;3;3;Coke;2;3;1;LINK AJA;;;;;;;;;;;;;;;;;
12:45;Beef burger;1;1;Coffe;3;1;1;DANA;;;;;;;;;;;;;;;;;
12:48;Chicken burger;2;3;Coffe;3;3;0;DANA;;;;;;;;;;;;;;;;;
12:50;Cheese burger;3;9;Coke;2;9;0;OVO;;;;;;;;;;;;;;;;;
12:52;Double cheese burger;4;3;Mineral water;1;3;0;LINK AJA;;;;;;;;;;;;;;;;;
12:54;Double cheese burger;4;5;Coffe;3;5;0;DANA;;;;;;;;;;;;;;;;;
12:56;Chicken burger;2;5;None;0;5;1;DANA;;;;;;;;;;;;;;;;;
12:58;Cheese burger;3;5;Coke;2;5;0;DANA;;;;;;;;;;;;;;;;;
13:00;Double cheese burger;4;5;Mineral water;1;5;0;DANA;;;;;;;;;;;;;;;;;
13:01;Beef burger;1;1;None;0;1;0;LINK AJA;;;;;;;;;;;;;;;;;
13:03;Beef burger;1;3;Coke;2;3;0;OVO;;;;;;;;;;;;;;;;;
13:05;Beef burger;1;6;Mineral water;1;3;1;LINK AJA;;;;;;;;;;;;;;;;;
13:07;Double cheese burger;4;5;Coffe;3;2;0;GOPAY;;;;;;;;;;;;;;;;;
13:10;Chicken burger;2;7;None;0;0;1;LINK AJA;;;;;;;;;;;;;;;;;
13:12;Cheese burger;3;12;Coke;2;10;0;GOPAY;;;;;;;;;;;;;;;;;
13:14;Double cheese burger;4;10;Mineral water;1;5;0;OVO;;;;;;;;;;;;;;;;;
13:16;Chicken burger;2;9;Coffe;3;9;0;GOPAY;;;;;;;;;;;;;;;;;
13:20;Cheese burger;3;11;Coke;2;3;1;DANA;;;;;;;;;;;;;;;;;
13:22;Double cheese burger;4;8;Mineral water;1;4;1;GOPAY;;;;;;;;;;;;;;;;;
13:24;Beef burger;1;7;Mineral water;1;7;1;GOPAY;;;;;;;;;;;;;;;;;
13:28;Chicken burger;2;11;None;0;0;0;DANA;;;;;;;;;;;;;;;;;
13:30;Beef burger;1;6;Mineral water;1;3;1;GOPAY;;;;;;;;;;;;;;;;;
13:33;Double cheese burger;4;5;Coffe;3;2;0;TUNAI;;;;;;;;;;;;;;;;;
13:35;Chicken burger;2;7;None;0;0;1;GOPAY;;;;;;;;;;;;;;;;;
13:38;Cheese burger;3;12;Coke;2;10;0;DANA;;;;;;;;;;;;;;;;;
13:41;Beef burger;1;6;Mineral water;1;3;1;LINK AJA;;;;;;;;;;;;;;;;;
13:45;Double cheese burger;4;5;Coffe;3;2;0;TUNAI;;;;;;;;;;;;;;;;;
13:48;Chicken burger;2;7;None;0;0;1;OVO;;;;;;;;;;;;;;;;;
13:49;Cheese burger;3;12;Coke;2;10;0;TUNAI;;;;;;;;;;;;;;;;;
13:52;Double cheese burger;4;10;Mineral water;1;5;0;OVO;;;;;;;;;;;;;;;;;
13:55;Chicken burger;2;9;Coffe;3;9;0;LINK AJA;;;;;;;;;;;;;;;;;
13:57;Cheese burger;3;11;Coke;2;3;1;LINK AJA;;;;;;;;;;;;;;;;;
14:01;Double cheese burger;4;8;Mineral water;1;4;1;DANA;;;;;;;;;;;;;;;;;
14:04;Beef burger;1;7;Mineral water;1;7;1;OVO;;;;;;;;;;;;;;;;;
14:07;Chicken burger;2;11;None;0;0;0;LINK AJA;;;;;;;;;;;;;;;;;
14:10;Beef burger;1;6;Mineral water;1;3;1;LINK AJA;;;;;;;;;;;;;;;;;
14:13;Double cheese burger;4;5;Coffe;3;2;0;TUNAI;;;;;;;;;;;;;;;;;
14:16;Chicken burger;2;7;None;0;0;1;OVO;;;;;;;;;;;;;;;;;
14:18;Cheese burger;3;12;Coke;2;10;0;GOPAY;;;;;;;;;;;;;;;;;
14:21;Double cheese burger;4;10;Mineral water;1;5;0;TUNAI;;;;;;;;;;;;;;;;;
14:23;Chicken burger;2;9;Coffe;3;9;0;OVO;;;;;;;;;;;;;;;;;
14:25;Cheese burger;3;11;Coke;2;3;1;OVO;;;;;;;;;;;;;;;;;
14:29;Double cheese burger;4;8;Mineral water;1;4;1;GOPAY;;;;;;;;;;;;;;;;;
14:32;Beef burger;1;7;Mineral water;1;7;1;LINK AJA;;;;;;;;;;;;;;;;;
14:35;Chicken burger;2;11;None;0;0;0;TUNAI;;;;;;;;;;;;;;;;;
