,text,Label
0,rt @megatop99: @conannkri @ccicpolri @mohmahfudmd negara demokrasi itu hukumnya hrs tegas dan adil.ibarat kereta api dan relnya.kereta api…,positif
1,"@jokowi harga2 pd naik gaji aparat negara gk naik2,yg enak mah jabatan politik gajinya segudang,mrk gk peduli kenai… https://t.co/e7aq6lv4rh",negatif
2,"xx : kalian coba mengusir yang mau membersihkan air di planet kalian, menggagalkannya, lalu menukarnya dengan air l… https://t.co/y2oglawiyp",negatif
3,@jokowi haturnuhun bapak presiden @jokowi telah berkenan kunker ke kampung saya,netral
4,@rifanrobani @catatan_ali7 @erickthohir @jokowi bahkan bisa jadi titisannya,netral
5,"rt @_delightbee: @jokowi @pertamina @kemenbumn kapan lagi ya pak, rakyat mu rindu?",positif
6,"@jokowi @pertamina @kemenbumn kapan lagi ya pak, rakyat mu rindu? https://t.co/hxss8jwrgr",positif
7,"presiden @jokowi memberikan keterangan pers saat kunjungan kerja ke pasar sukamandi kabupaten subang jawa barat, 12… https://t.co/ejvrnf7kux",positif
8,"rt @jokowi: saat dunia mengalami kekurangan pangan di mana-mana, kita harus memastikan kondisi ketersediaan pangan indonesia aman.
di bala…",positif
9,"rt @jokowi: situasi dunia sedang terdisrupsi di bidang pangan dan energi. karena itulah, saya menekankan agar para menteri, utamanya yang m…",positif
10,@megatop99 @ccicpolri @mohmahfudmd @jokowi iya bener bang kebebasan tanpa rambu rambu yg jelas tanpa hukum yg tegas lama lama akan runtuh.,positif
11,"@jokowi waduk sdh dibenahi ditengah ramainya nyinyiran, skrg pem akan tingkatkan ketahanan pangan, jd hrs tahu klu… https://t.co/byskbqozt3",positif
12,@luckman33491120 @lukmanrudianto @bliliang @dennysiregar7 @jokowi ganjar kan junjunganmu bong .. kalau cebong seka… https://t.co/jfrpjnyile,positif
13,rt @yaniarsim: 🤣🤣🤣 ....... untung pak @jokowi ga denger https://t.co/jczkcrxy4f,negatif
14,"rt @yudiset16452924: presiden @jokowi : hati hati yg suka makan roti, makan mie harganya bakal naik karena ada perang di ukraina🤣🤣🤣🤣jadi k…",negatif
15,@katzedikke @12_0_8_1 @erickthohir @jokowi 😷cie dikata cakep @gloriahermawan,netral
