Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Name,Item,Kind,Hidden
1/8/2020,ID-JI,Jawa Timur,9,3,1,5,9,5,10,-6,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.22,0.22,0.07,0.12,55.56%,111.11%,,,,,,
1/9/2020,ID-JI,Jawa Timur,0,1,23,-24,9,6,33,-30,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.02,0.15,66.67%,366.67%,0.00,0.33,,,,
1/10/2020,ID-JI,Jawa Timur,0,1,14,-15,9,7,47,-45,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.02,0.17,77.78%,522.22%,1.00,1.00,,,,
1/11/2020,ID-JI,Jawa Timur,0,3,8,-11,9,10,55,-56,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.07,0.25,111.11%,611.11%,1.00,3.00,,,,
1/12/2020,ID-JI,Jawa Timur,0,3,1,-4,9,13,56,-60,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.07,0.32,144.44%,622.22%,1.00,1.00,,,,
1/13/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,56,-60,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,622.22%,1.00,0.00,,,,
1/14/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,56,-60,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,622.22%,1.00,1.00,,,,
1/15/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,56,-60,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,622.22%,1.00,1.00,,,,
1/16/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,56,-60,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,622.22%,1.00,1.00,,,,
1/17/2020,ID-JI,Jawa Timur,0,0,4,-4,9,13,60,-64,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,666.67%,1.00,1.00,,,,
1/18/2020,ID-JI,Jawa Timur,0,0,8,-8,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/19/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/20/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/21/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/22/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/23/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/24/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/25/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/26/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/27/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/28/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/29/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/30/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
1/31/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
2/1/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
