Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
03-01-2013,20,24.1,21.4,89,0,2.2
04-01-2013,19,22.7,20,97,0,2
05-01-2013,19,25.6,20.8,85,26,0
06-01-2013,19,23.3,20,94,42,3.4
07-01-2013,19,23.1,20.4,91,8,0
08-01-2013,19,25,20.3,92,9,0
09-01-2013,19,22,19.3,98,71,0.5
10-01-2013,18,25.4,21.8,83,66,0
11-01-2013,20,24.8,20.6,93,2,3.6
12-01-2013,18,22.1,19.8,92,21,0
13-01-2013,20,21.6,19.8,98,26,0.1
14-01-2013,19,22.1,19.8,97,33,0
15-01-2013,19,21.9,19.2,98,100,0
16-01-2013,19,20.9,19.6,100,54,0
17-01-2013,19,20.6,19.6,98,70,0
18-01-2013,19,20.4,19.6,98,98,0
19-01-2013,19,23.6,20.6,93,24,0
20-01-2013,19,23.5,21.2,88,8,0
21-01-2013,19,24.8,21.3,94,7,0.8
22-01-2013,20,28.5,20.2,92,0,0.8
23-01-2013,19,24.2,19.6,95,42,1.4
24-01-2013,19,23,20.3,90,27,0.5
25-01-2013,19,23.6,21.1,92,12,0
26-01-2013,19,25.6,21.2,88,5,0.6
27-01-2013,19,24.6,20.6,88,24,2.8
28-01-2013,18,26.2,20.7,90,3,2.4
29-01-2013,18,25.1,21.7,89,2,1.2
30-01-2013,19,25.2,21.1,92,0,3
31-01-2013,18,24.8,20.1,92,14,0.6
01-02-2013,18,25.4,21.4,84,69,1.6
02-02-2013,18,24.3,20.3,95,10.33774296,4.2
03-02-2013,19,25.6,21.1,86,28,1
04-02-2013,19,25,21.4,90,10.33774296,4.6
05-02-2013,18,25.1,20.6,94,13,1.4
06-02-2013,19,25.6,21,90,24,2
07-02-2013,18,25.8,21.2,89,9,2.1
08-02-2013,18,26.2,21.2,88,16,5
09-02-2013,19,27,21.1,88,0,7.4
10-02-2013,18,25,20.7,90,4,3.3
11-02-2013,19,24.3,21.4,92,2,1.4
12-02-2013,19,24.6,20.7,92,10.33774296,0.5
13-02-2013,18,25.3,20.6,88,70,1.2
14-02-2013,19,24,20.5,94,16,3.8
15-02-2013,18,25.8,21.1,85,7,1.6
16-02-2013,19,25.6,21.1,90,10.33774296,4
17-02-2013,19,23,19.8,96,27,0
18-02-2013,19,22.4,20,96,9,0.2
19-02-2013,19,23.8,20.1,95,12,0
20-02-2013,19,24.2,20.9,90,3,0.4
21-02-2013,19,25.6,20.5,94,9,0.8
22-02-2013,19,23.4,20.1,92,2,1
23-02-2013,19,22.7,20,95,3,0
24-02-2013,19,23.7,21.3,84,15,0.1
25-02-2013,20,26.2,22.8,77,10.33774296,0.2
26-02-2013,21,24.2,22.2,80,0,2.1
27-02-2013,21,26.8,21.9,86,10.33774296,0.5
28-02-2013,20,26,22.1,86,10.33774296,1.2
01-03-2013,19,25.2,21.7,90,7,3
02-03-2013,20,26.6,22.4,85,2,3
03-03-2013,20,26.4,21.8,84,4,5.4
04-03-2013,20,22.6,20.5,97,15,4.8
05-03-2013,18,25.6,19.4,90,130,0
06-03-2013,19,26,21.7,89,34,0.2
07-03-2013,18,27.6,22.3,76,0,4.4
08-03-2013,19,26.2,21.9,84,0,7.8
09-03-2013,19,24.4,20.8,92,2,5.2
10-03-2013,19,25.4,21.4,89,15,3.2
11-03-2013,19,28,22.4,82,3,1
12-03-2013,19,27.8,21,87,10.33774296,6.2
13-03-2013,19,27.8,22.7,82,25,4.6
14-03-2013,20,26.1,21.9,84,10.33774296,4
15-03-2013,19,27,21.3,81,1,3.2
16-03-2013,18,27.8,21.3,83,12,5
17-03-2013,18,27.5,21.4,82,16,4.4
18-03-2013,19,26.4,21.6,82,0,4.6
19-03-2013,19,26.2,21.5,86,1,3.8
20-03-2013,19,26.1,21.3,89,13,4.2
21-03-2013,19,26.5,20.6,88,8,3
22-03-2013,18,25.5,21.4,90,51,4.5
23-03-2013,19,26.4,21.2,90,2,2.8
24-03-2013,19,26.2,21.5,92,2,2.9
25-03-2013,20,25.8,21.5,92,5,4.2
26-03-2013,19,26.1,21.6,89,1,0.2
27-03-2013,19,26.8,21.1,92,1,3.8
28-03-2013,19,27.2,22.1,79,3,3
29-03-2013,19,27.7,22.6,84,4,5.4
30-03-2013,19,26.8,22.1,86,0,7.3
31-03-2013,19,29,22.1,86,48,3.4
01-04-2013,19,26.1,21.2,84,2,6.8
02-04-2013,20,26,21.6,94,60,1.4
03-04-2013,20,26.3,22.3,92,33,2.4
04-04-2013,19,28,21.8,90,4,2.4
05-04-2013,20,26.2,22.4,90,5,2.4
06-04-2013,20,25.8,21.8,89,2,3.8
07-04-2013,20,26.8,21.8,90,24,0.2
08-04-2013,19,27,22.6,83,12,1.4
09-04-2013,19,27.6,22.5,85,10.33774296,2.6
10-04-2013,20,26,22.2,89,4,4.5
11-04-2013,20,26.8,21.1,91,1,2.2
12-04-2013,19,27,21.9,83,30,4.4
13-04-2013,19,25.6,21.9,90,6,1.7
14-04-2013,19,27,22.7,86,0,0.1
15-04-2013,20,26.8,23.1,86,4,3.6
16-04-2013,19,27.7,22.1,85,5,2.9
17-04-2013,20,25.6,21.8,91,17,4.2
18-04-2013,19,23.5,20.2,95,19,2
19-04-2013,19,25.6,20.7,88,24,0.6
20-04-2013,19,27,22.2,84,10,4.9
21-04-2013,20,25.6,21.6,94,0,6.2
22-04-2013,19,24.8,20.6,94,24,0
23-04-2013,18,25,21.4,90,18,0.6
24-04-2013,19,28.1,23.2,81,10.33774296,4
25-04-2013,19,26.4,21.6,85,10.33774296,6.2
26-04-2013,20,26.4,22,91,6,3.2
27-04-2013,18,26.1,21.2,85,0,3
28-04-2013,19,27.8,22.7,84,34,4.6
29-04-2013,18,28.3,22.5,86,0,6.9
30-04-2013,18,27.7,22.5,88,0,6.2
01-05-2013,20,26.3,21.7,87,0,6.2
02-05-2013,18,25.5,21.4,86,27,3.7
03-05-2013,19,27.6,22,81,0,3.3
04-05-2013,19,28.1,22.8,82,1,5.3
05-05-2013,20,28,23.3,84,0,7.6
06-05-2013,19,28.7,22.7,85,0,7
07-05-2013,19,26.8,21.7,92,10.33774296,7.3
08-05-2013,19,26.7,21.9,90,34,3.1
09-05-2013,19,25.4,20.9,93,2,3.8
10-05-2013,19,26.6,21.7,91,9,2
11-05-2013,19,26.4,21.6,91,58,2.6
12-05-2013,19,25.7,21.5,91,21,2.4
13-05-2013,19,26.1,21.7,90,9,2.5
14-05-2013,18,27.1,22,83,0,0.9
15-05-2013,20,26.2,22,84,10.33774296,5.6
16-05-2013,19,28.6,23.5,82,0,2.8
17-05-2013,21,27.8,22.3,84,0,5
18-05-2013,19,27.7,22.8,82,4,5.8
19-05-2013,19,27.1,21.7,83,1,3.8
20-05-2013,18,27.5,21.9,85,92,4.4
21-05-2013,19,25.2,21.8,92,7,7
22-05-2013,19,27.2,21.5,90,6,0.1
23-05-2013,19,27.4,22,86,7,4.6
24-05-2013,18,26.6,21.9,86,20,4.9
25-05-2013,18,24.9,21.3,94,71,5.6
26-05-2013,19,26,21.2,89,65,0.2
27-05-2013,20,23,21.1,92,9,3
28-05-2013,20,25.6,22.1,86,0,0
29-05-2013,19,26.2,22,84,4,2
30-05-2013,19,25.2,21,92,17,5.3
31-05-2013,19,24.7,20.9,93,30,3.6
01-06-2013,19,26.4,22.2,88,0,0.9
02-06-2013,19,26.6,22.2,81,0,3.2
03-06-2013,19,26.8,21.9,79,1,5
04-06-2013,19,26.6,21.6,87,1,0.6
05-06-2013,19,26.2,21.5,90,3,2.9
06-06-2013,20,24.1,21.1,92,7,3
07-06-2013,19,26.6,22.1,82,4,0
08-06-2013,20,27.2,22.1,84,0,4.1
09-06-2013,19,27.6,22.1,80,1,3.3
10-06-2013,19,27.2,21.7,87,9,6.2
11-06-2013,19,27.3,21.8,86,10.33774296,5.2
12-06-2013,19,24.2,20.7,92,6,4.6
13-06-2013,19,23.6,20.1,90,16,0
14-06-2013,18,26.8,22.7,81,35,0
15-06-2013,20,26.4,21.8,85,0,2.2
16-06-2013,19,27.2,21.9,86,21,4
17-06-2013,19,25.1,21.4,89,17,6.6
18-06-2013,19,26.2,21.9,87,1,0.2
19-06-2013,19,25.4,21.6,87,10.33774296,5.8
20-06-2013,19,25.8,21.9,82,0,3
21-06-2013,20,26.8,22,82,0,3.7
22-06-2013,19,27,22.5,75,10.33774296,4.2
23-06-2013,20,27.1,22.7,80,0,3.808420209
24-06-2013,18,27.6,22.5,77,0,4.5
25-06-2013,18,28.5,22.2,79,0,7.7
26-06-2013,19,27.8,22.1,82,0,7.2
27-06-2013,18,27.6,21.6,78,0,7.4
28-06-2013,19,27.1,21.1,84,0,7.7
