sqft_living,sqft_living15,sqft_above,price
1180,1340,1180,221900.0
2570,1690,2170,538000.0
770,2720,770,180000.0
1960,1360,1050,604000.0
1680,1800,1680,510000.0
5420,4760,3890,1225000.0
1715,2238,1715,257500.0
1060,1650,1060,291850.0
1780,1780,1050,229500.0
1890,2390,1890,323000.0
3560,2210,1860,662500.0
1160,1330,860,468000.0
1430,1780,1430,310000.0
1370,1370,1370,400000.0
1810,1360,1810,530000.0
2950,2140,1980,650000.0
1890,1890,1890,395000.0
1600,1610,1600,485000.0
1200,1060,1200,189000.0
1250,1280,1250,230000.0
1620,1400,860,385000.0
3050,4110,2330,2000000.0
2270,2240,2270,285000.0
1070,1220,1070,252700.0
2450,2200,2450,329000.0
1710,1030,1710,233000.0
2450,1760,1750,937000.0
1400,1860,1400,667000.0
1520,1520,790,438000.0
2570,2630,2570,719000.0
2320,2580,2320,580500.0
1190,1390,1190,280000.0
2330,1460,1510,687500.0
1090,1570,1090,535000.0
2060,2020,1280,322500.0
2300,1590,1510,696000.0
1660,2160,930,550000.0
2360,1730,2360,640000.0
1220,1290,890,240000.0
2620,2620,2620,605000.0
2570,2470,2570,625000.0
4220,2410,2600,775000.0
3595,3625,3595,861990.0
1570,1580,1570,685000.0
1280,1340,920,309000.0
3160,3050,3160,488000.0
990,1228,990,210490.0
2290,2680,2290,785000.0
1250,970,1250,450000.0
2753,2680,2165,1350000.0
1190,1190,1190,228000.0
3150,1990,1640,345000.0
1410,1410,1000,600000.0
1980,1480,990,585000.0
2730,2730,2130,920000.0
2830,1950,2830,885000.0
2250,2250,2250,292500.0
2420,2690,2420,301000.0
3250,2960,3250,951000.0
1850,2270,1850,430000.0
2150,2570,1590,650000.0
1260,1290,1260,289000.0
2519,2500,2519,505000.0
1540,1580,1540,549000.0
1660,1440,1110,425000.0
2770,1440,1770,317625.0
2720,2750,2720,975000.0
2240,2221,2240,287000.0
1000,1010,1000,204000.0
3200,3390,1600,1325000.0
4770,3530,3070,1040000.0
1260,1640,1260,325000.0
2750,1510,2250,571000.0
2380,2420,2380,360000.0
1790,1940,1090,349000.0
3430,3240,2390,832500.0
1760,1680,880,380000.0
1040,890,1040,480000.0
1410,1130,910,410000.0
3450,3350,3450,720000.0
2350,2350,2350,390000.0
1900,1870,1900,360000.0
2020,1720,1010,355000.0
1680,1850,1680,356000.0
960,1570,960,315000.0
2140,2020,1900,940000.0
2660,1590,2660,305000.0
2770,1900,1980,461000.0
1610,1950,1610,215000.0
1030,1030,765,335000.0
1980,1980,1980,243500.0
3520,2520,3520,1099880.0
1200,1350,1200,153000.0
1580,1570,1290,430000.0
1580,1570,1290,700000.0
3300,1950,2390,905000.0
1960,1750,1960,247500.0
1160,1160,1160,199000.0
1810,1650,1210,314000.0
2320,2550,2320,437500.0
