province_id,province_name
1,Nanggroe Aceh Darussalam
2,Sumatera Utara
3,Sumatera Barat
4,Riau
5,Jambi
6,Sumatera Selatan
7,Bengkulu
8,Lampung
9,Kep. Bangka Belitung
10,Kep. Riau
11,DKI Jakarta
12,Jawa Barat
13,Jawa Tengah
14,DI Yogyakarta
15,Jawa Timur
16,Banten
17,Bali
18,Nusa Tenggara Barat
19,Nusa Tenggara Timur
20,Kalimantan Barat
21,Kalimantan Tengah
22,Kalimantan Selatan
23,Kalimantan Timur
24,Sulawesi Utara
25,Sulawesi Tengah
26,Sulawesi Selatan
27,Sulawesi Tenggara
28,Gorontalo
29,Sulawesi Barat
30,Maluku
31,Maluku Utara
32,Papua
33,Papua Barat
34,Kalimantan Utara
