Origin Time,Latitude,Longitude,Magnitude,Depth,Region
30-06-2016 19:58:41 WIB,-3.65,128.30,3.6,10 Km,"Seram, Indonesia"
30-06-2016 18:43:13 WIB,0.50,123.62,5.0,228 Km,"Minahassa Peninsula, Sulawesi"
30-06-2016 17:46:19 WIB,01.09,121.80,5.0,45 Km,"Minahassa Peninsula, Sulawesi"
30-06-2016 17:46:17 WIB,01.09,121.76,5.0,10 Km,"Minahassa Peninsula, Sulawesi"
30-06-2016 07:22:32 WIB,-5.46,130.99,4.6,107 Km,Banda Sea
30-06-2016 00:09:31 WIB,-2.95,122.50,3.7,10 Km,"Sulawesi, Indonesia"
28-06-2016 20:55:52 WIB,-4.2,133.90,4.9,10 Km,"Papua, Indonesia"
26-06-2016 11:13:11 WIB,1.51,96.67,4.4,30 Km,83km BaratLaut NIASUTARA-SUMUT
26-06-2016 09:56:39 WIB,-6.28,130.26,5.0,208 Km,Banda Sea-Indonesia
31-07-2016 10:30:45 WIB,-8.26,107.01,4.7,10 Km,72 km BaratDaya Kab.Tasikmalaya-JABAR
31-07-2016 08:07:54 WIB,-2.2,138.62,5.1,10 Km,"Irian Jaya, Indonesia"
31-07-2016 05:42:10 WIB,2.15,96.86,4.9,8 Km,107 km Tenggara Kab.Simeulue-ACEH
30-07-2016 21:47:20 WIB,-6.28,130.51,5,151 Km,165 km Baratlaut Larat-MTB
30-07-2016 03:46:05 WIB,-4.28,138.39,4.8,22 Km,45 km Tenggara LANNY JAYA-PAPUA
29-07-2016 16:07:11 WIB,-9.54,106.95,4.8,26 Km,"South of Java, Indonesia"
29-07-2016 15:29:27 WIB,-0.02,123.46,5.2,138 Km,"Minahassa Peninsula, Sulawesi"
28-07-2016 10:40:15 WIB,-3.29,102.85,4.2,194 Km,1 KM Baratlaut LubukLinggau-SUMSEL
28-07-2016 03:47:41 WIB,-7.67,114.65,4.5,17 Km,"Banyuwangi, Jawa Timur"
27-07-2016 09:08:42 WIB,03.03,98.52,3.9,10 Km,29 km Tenggara KARO-SUMUT
26-07-2016 23:06:32 WIB,-10.01,120.84,3.9,10 Km,55 km Tenggara SUMBA TIMUR - NTT
26-07-2016 04:33:31 WIB,-2.81,139.56,4.9,27 Km,Near North Coast of Irian Jaya
24-07-2016 23:56:31 WIB,-6.88,106.39,4.0,144 Km,38 Km Tenggara LEBAK - BANTEN
24-07-2016 04:30:06 WIB,1.16,126.84,4.6,18 Km,86km Barat Daya Halmahera Barat-MALUT
24-07-2016 01:35:46 WIB,-8.47,124.19,4.6,10 Km,44 km Barat Daya ALOR
23-07-2016 14:41:48 WIB,-6.44,101.32,5.6,10 Km,"Southwest of Sumatra, Indonesia"
22-07-2016 18:50:28 WIB,-3.23,135.19,4.6,35 Km,37km BaratLaut NABIRE-PAPUA-Indonesia
22-07-2016 18:50:27 WIB,-3.22,135.20,4.7,40 Km,37 km Baratlaut NABIRE-PAPUA
22-07-2016 01:35:38 WIB,-0.78,131.07,3.9,8 Km,22 km BaratLaut SORONG-PAPUABRT-Indonesia
22-07-2016 00:50:17 WIB,-7.14,126.60,4.8,378 Km,76 km Timur Laut MALUKUBARATDAYA
22-07-2016 00:50:03 WIB,-7.14,126.60,4.8,378 Km,76 km Timur Laut MALUKUBARATDAYA
21-07-2016 15:53:27 WIB,-7.72,106.05,3.8,27 Km,Sukabumi - JABAR
21-07-2016 15:53:24 WIB,-7.89,106.00,4.0,10 Km,148_Km_BaratDaya_KOTA_SUKABUMI_JABAR
21-07-2016 05:48:51 WIB,-7.49,127.78,4.8,10 Km,75 km Utara Tiakur - MBD
20-07-2016 17:21:46 WIB,-3.82,122.78,4.1,10 Km,SULTRA
20-07-2016 10:58:32 WIB,-0.06,122.90,5.2,154 Km,"Minahassa Peninsula, Sulawesi"
20-07-2016 10:58:31 WIB,0.00,122.91,5.2,174 Km,"Minahassa Peninsula, Sulawesi"
20-07-2016 08:57:14 WIB,-1.06,135.49,4.0,11 Km,41 km BaratDaya SUPRIORI-PAPUA
20-07-2016 04:04:03 WIB,-3.27,139.88,4.4,25 Km,51 km TimurLaut YALIMO-PAPUA
19-07-2016 16:38:15 WIB,-4.33,129.93,3.6,99 Km,22 km Utara Banda - Malteng
19-07-2016 07:54:17 WIB,-3.9,129.6,3.9,80 Km,59 km Selatan Tehoru - Malteng
19-07-2016 04:16:31 WIB,-2.6,126.41,5.3,25 Km,Ceram Sea
18-07-2016 19:50:59 WIB,-6.38,111.12,3.8,18 Km,ing=42 km Timur Laut Pati -
18-07-2016 19:31:55 WIB,-6.37,111.08,3.8,15 Km,ing=42 km Timur Laut Pati -
18-07-2016 12:32:03 WIB,-8.3,129.23,5.3,26 Km,Timor Sea
18-07-2016 09:21:43 WIB,-01.02,126.88,4.4,10 Km,81 km BD Labuha-MALUKU UTARA
18-07-2016 05:59:00 WIB,-7.62,109.92,3.6,13 Km,18 km Baratlaut Purworejo
18-07-2016 05:58:59 WIB,-7.64,109.90,3.9,10 Km,12 km Baratlaut Purworejo
17-07-2016 16:32:57 WIB,-01.54,126.40,3.9,10 Km,"Sanana, Maluku Utara"
17-07-2016 14:56:57 WIB,-0.15,123.54,4.3,153 Km,70 km Bolaang Mongondow Selatan - SULUT
16-07-2016 21:07:46 WIB,-2.82,141.13,4.8,9 Km,47 km TimurLaut KEEROM-PAPUA-Indonesia
16-07-2016 16:17:40 WIB,-8.38,111.74,3.6,125 Km,205_km_Selatan_Pacitan
16-07-2016 04:49:12 WIB,-5.09,130.65,3.8,137 Km,104 km Tenggara Banda-MALUKU TENGAH
16-07-2016 04:25:07 WIB,-2.86,139.27,3.7,25 Km,88 km BaratLaut YALIMO-PAPUA
16-07-2016 01:39:28 WIB,-5.91,131.61,4.4,103 Km,"Laut Banda, Indonesia"
