station_id,station_name,region_name,latitude,longitude,region_id,province_id
96001,Stasiun Meteorologi Maimun Saleh,Kota Sabang,5.87655,95.33785,20,1
96003,Balai Besar Meteorologi Klimatologi  dan Geofisika Wilayah III,Kab. Badung,-8.7381,115.1786,272,17
96004,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah IV,Kota Makassar,-5.14283,119.45227,412,26
96009,Stasiun Meteorologi Malikussaleh,Kab. Aceh Utara,5.22869,96.94749,8,1
96011,Stasiun Meteorologi Sultan Iskandar Muda,Kab. Aceh Besar,5.52244,95.417,6,1
96013,Stasiun Geofisika Aceh Besar,Kab. Aceh Besar,5.496,95.296,6,1
96015,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,Kab. Nagan Raya,4.04928,96.24796,15,1
96017,Stasiun Klimatologi Aceh,Kab. Aceh Besar,5.404,95.464,6,1
96031,Stasiun Klimatologi Sumatera Utara,Kab. Deli Serdang,3.62114,98.71485,30,2
96033,Stasiun Meteorologi Maritim Belawan,Kota Medan,3.78824,98.71492,49,2
96035,Stasiun Meteorologi Kualanamu,Kab. Deli Serdang,3.64573,98.88488,30,2
96037,Stasiun Geofisika Deli Serdang,Kab. Deli Serdang,3.501,98.56,30,2
96039,Stasiun Geofisika Aceh Selatan,Kab. Aceh Selatan,3.17333,97.28637,1,1
96041,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I,Kota Medan,3.5397,98.64,49,2
96043,Stasiun Meteorologi Silangit,Kab. Tapanuli Utara,2.26136,98.99357,25,2
96071,Stasiun Meteorologi Aek Godang,Kab. Padang Lawas Utara,1.55,99.45,43,2
96073,Stasiun Meteorologi FL Tobing,Kab. Tapanuli Tengah,1.55,98.88,24,2
96075,Stasiun Meteorologi Binaka,Kab. Nias,1.1649,97.7036,27,2
96077,Stasiun Geofisika Gunungsitoli,Kab. Nias,1.3,97.58,27,2
96087,Stasiun Meteorologi Hang Nadim,Kota Batam,1.11667,104.11667,150,10
96089,Stasiun Meteorologi Raja Haji Abdullah ,Kab. Karimun,1.03,103.38,146,10
96091,Stasiun Meteorologi Raja Haji Fisabilillah,Kota Tanjung Pinang,0.9227,104.5289,151,10
96107,Stasiun Klimatologi Riau,Kab. Kampar,0.407,101.217,76,4
96109,Stasiun Meteorologi Sultan Syarif Kasim II,Kota Pekanbaru,0.45924,101.44743,86,4
96145,Stasiun Meteorologi Tarempa,Kab. Kepulauan Anambas,3.2,106.25,149,10
96147,Stasiun Meteorologi Ranai,Kab. Natuna,3.91206,108.39,147,10
96161,Stasiun Meteorologi Maritim Teluk Bayur,Kota Padang,-0.99639,100.37222,69,3
96163,Stasiun Meteorologi Minangkabau,Kab. Padang Pariaman,-0.79355,100.28917,61,3
96165,Stasiun Geofisika Padang Panjang,Kota Padang Panjang,-0.4663,100.3797,72,3
96167,Stasiun Klimatologi Sumatera Barat,Kab. Padang Pariaman,-0.54549,100.29786,61,3
96169,Stasiun Pemantau Atmosfer Global Bukit Koto Tabang,Kab. Agam,-0.2505,100.3823,62,3
96171,Stasiun Meteorologi Japura,Kab. Indragiri Hulu,-0.33,102.32,77,4
96179,Stasiun Meteorologi Dabo ,Kab. Lingga,-0.48,104.58,148,10
